Instance Name,Number of Vehicles,min (sec),minmax,deltaFair 0.1,deltaFair 0.3,deltaFair 0.5,deltaFair 0.7,deltaFair 0.9
A-n32-k5,5,2.1,TO (0.03),1535.17,193.66,113.34,46.26,24.83
A-n33-k5,5,4.57,2515.92,392.27,123.59,74.87,25.23,15.27
A-n33-k6,6,5.03,TO (0.09),1513.53,598.35,124.36,78.08,21.2
A-n34-k5,5,6.52,653.54,129.86,129.2,60.79,34.71,19.59
A-n36-k5,5,2.47,TO (0.12),3388.59,546.36,185.16,94.13,41.74
A-n37-k5,5,2.82,TO (0.02),224.49,130.59,74.14,47.24,9.27
A-n37-k6,6,4.21,TO (0.37),TO (0.28),TO (0.11),1891.62,277.52,109.72
A-n38-k5,5,10.67,TO (0.01),374.28,124.82,66.06,35.44,24.35
A-n39-k5,5,5.16,TO (0.24),TO (0.05),522.74,415.11,71.91,32.61
A-n39-k6,6,16.21,TO (0.26),TO (0.17),TO (0.08),1657.51,218.16,41.69
A-n44-k6,6,27.24,TO (0.47),TO (0.35),TO (0.16),2089.98,411.9,62.73
A-n45-k6,6,13.58,TO (0.4),TO (0.18),1709.74,373.62,184.38,58.04
A-n45-k7,7,41.15,TO (0.68),TO (0.61),TO (0.49),TO (0.16),TO (0.08),257.66
A-n46-k7,7,26.62,TO (0.61),TO (0.5),TO (0.38),TO (0.27),1012.82,101.57
A-n48-k7,7,51.32,TO (0.71),TO (0.63),TO (0.49),TO (0.38),TO (0.03),366.51
E-n13-k4,4,0.19,4.48,2.66,1.9,2.38,1.32,0.81
E-n22-k4,4,0.98,24.2,10.83,7.6,5.84,4.01,2.23
E-n23-k3,3,0.67,5.14,4.8,3.96,3.03,2.08,2.69
E-n30-k3,3,0.92,10.07,8.2,9.02,7.45,3.32,5.48
E-n31-k7,7,3.19,TO (0.64),TO (0.34),TO (0.16),TO (0.09),84.7,21.43
E-n33-k4,4,3.67,TO (0.02),32.15,20.62,14.11,9.91,6.75
E-n51-k5,5,14.76,TO (0.13),579.95,509.34,793.62,210.07,78.63
